feature,importance_mean,importance_std
age,0.05592597205772285,0.0004154926466582036
gamma_GTP,0.04988402863635373,0.0008212306876941137
SGOT_ALT,0.023031209796792473,0.0002840984357890548
SMK_stat_type_cd,0.018956847705900847,0.0006724062237361053
HDL_chole,0.018124313030062768,0.0004001010596782435
sex_Female,0.01737180380442669,0.00026848762567840387
SGOT_AST,0.005232440488375789,0.0003104342877685785
height,0.005118812559894681,0.00029290560918889154
LDL_chole,0.0027877711847383415,0.0001037799431486422
triglyceride,0.0016137390372341187,0.00016028542285296515
weight,0.0015725884380008548,0.00020199476047781065
waistline,0.001283309560103274,0.00025976791504674833
BLDS,0.0011909900340864477,0.00012210380890548
serum_creatinine,0.0010855217774555336,0.0001856446190233274
sex_Male,0.0010446325901925179,4.749249490421334e-05
hemoglobin,0.0009010087812119539,0.00016538905998462054
DBP,0.0006867032658600003,0.000100570014783864
tot_chole,0.00011846284394605444,7.402625145858877e-05
sight_left,5.876036751921721e-05,3.942897294560987e-05
SBP,4.100000475284471e-05,9.592332111211046e-05
hear_left,0.0,0.0
hear_right,0.0,0.0
sight_right,-1.8772615336892785e-06,1.8053526358387447e-05
urine_protein,-7.25962529104951e-05,3.5024377757348e-05
